info,query
Justice in Catherine of Siena (1347–1380),
Abolition in Frances (Fanny) Wright (1795–1852),
Abolitionism in Lydia Maria Child (1802–1880),
Abortion in G.E.M. Anscombe (1919–2001) | ,https://historyofwomenphilosophers.org/ecc/#article=Abortion%20in%20G.E.M.%20Anscombe%20(1919%E2%80%932001)
Action in Hannah Arendt (1905–1975) | ,https://historyofwomenphilosophers.org/ecc/#article=Action%20in%20Hannah%20Arendt%20(1905%E2%80%931975)
Action in Jeanne-Marie Bouvier de la Motte Guyon (1648–1717).,
Aesthetics in Vernon Lee (Violet Paget) (1856–1935),
Affective Memory in Vernon Lee (Violet Paget) (1856–1935),
"Analysis, directional in Susan Stebbing (1885–1943)",
Ancient Medicine and Method in Maja Hudoletnjak Grgić (1964–2010),
Antiscientism in Mary Midgley (1919–2018),
Art in Anne Le Fèvre Dacier (1647–1720),
Art in Madeleine de Scudéry (1607–1701),
Art in Vernon Lee (Violet Paget) (1856–1935),
"Art, Social Significance of in Vernon Lee (Violet Paget) (1856–1935)",
Artistic Experience: Physiology in Vernon Lee (Violet Paget) (1856–1935),
Artistic experience: Psychology in Vernon Lee (Violet Paget) (1856–1935),
Ascent in Diotima of Mantinea (ca. 440 b.c.e.),
Atheism in Frances (Fanny) Wright (1795–1852),
Atheism in Frances Power Cobbe (1822–1904),
Attention in Iris Murdoch (1919–1999),
Attention in Simone Weil (1909–1943),
Authority and Gender in Angélique Arnauld (1591–1661) | ,https://historyofwomenphilosophers.org/ecc/#article=Authority%20and%20Gender%20in%20Ang%C3%A9lique%20Arnauld%20(1591%E2%80%931661)
,
Autobiography in Sarah Kofman (1934–1994),
Barbarism in Simone Weil (1909–1943),
"Being, Nature of in Antoinette Brown Blackwell (1825–1921)",
Basis of Morality in Sophie de Grouchy (1764–1822) | ,https://historyofwomenphilosophers.org/ecc/#article=Basis%20of%20Morality%20in%20Sophie%20de%20Grouchy%20(1764%E2%80%931822)
,
"Beautiful, the in Vernon Lee (Violet Paget) (1856–1935)",
Beauty in Diotima of Mantinea (ca. 440 B.C.E.) | ,https://historyofwomenphilosophers.org/ecc/#article=Beauty%20in%20Diotima%20of%20Mantinea%20(ca.%20440%20B.C.E.)
,
Beauty in Murasaki Shikibu (ca. 973–ca. 1020),
Benevolent Utility (Duty of) in Catharine Beecher (1800–1878),
Care Ethics in Jane Addams (1860–1935) | ,https://historyofwomenphilosophers.org/ecc/#article=Care%20Ethics%20in%20Jane%20Addams%20(1860%E2%80%931935)
,
Cause and Effect in Catharine Beecher (1800–1878) | ,https://historyofwomenphilosophers.org/ecc/#article=Cause%20and%20Effect%20in%20Catharine%20Beecher%20(1800%E2%80%931878)
,
Certainty in Mechthild von Magdeburg (1207–1282),
Certitude and Doubt in Angélique de Saint-Jean Arnauld d’Andilly (1624–1684),
Civil society in Mary Wollstonecraft (1759–1797) | ,https://historyofwomenphilosophers.org/ecc/#article=Civil%20society%20in%20Mary%20Wollstonecraft%20(1759%E2%80%931797)
,
Community in Edith Stein (1891–1942),
Conformity in Harriet Taylor Mill (1807–1858) | ,https://historyofwomenphilosophers.org/ecc/#article=Conformity%20in%20Harriet%20Taylor%20Mill%20(1807%E2%80%931858)
,
Conscience (Role in Morality) in Catharine Beecher (1800–1878),
Created Beings and Human Nature in Mary Astell (1666–1731) | ,https://historyofwomenphilosophers.org/ecc/#article=Created%20Beings%20and%20Human%20Nature%20in%20Mary%20Astell%20(1666%E2%80%931731)
Creation in Anne Conway (1631–1679),
Creationism in Anne Bradstreet (1612–1672),
Denomination / Determination in Emily Elizabeth Constance Jones (1848–1922),
Darwinism and Morality in Frances Power Cobbe (1822–1904),
Death In Karoline Von Günderrode (1780–1806),
Determinism and Freedom in Angélique Arnauld (1591–1661) | ,https://historyofwomenphilosophers.org/ecc/#article=Determinism%20and%20Freedom%20in%20Ang%C3%A9lique%20Arnauld%20(1591%E2%80%931661)
,
"Disinterested Love/Friendship in Anne-Thérèse de Marguenat de Courcelles, Marquise de Lambert (1647–1733)",
Dissolve in Alice Ambrose (1906–2001),
Divine attributes in Catherine of Siena (1347–1380),
Divinity (Knowledge of) in Catharine Beecher (1800–1878) | ,https://historyofwomenphilosophers.org/ecc/#article=Divinity%20(Knowledge%20of)%20in%20Catharine%20Beecher%20(1800%E2%80%931878)
,
Domestic Violence in Harriet Taylor Mill (1807–1858) | ,https://historyofwomenphilosophers.org/ecc/#article=Domestic%20Violence%20in%20Harriet%20Taylor%20Mill%20(1807%E2%80%931858)
,
Duties to Animals in Frances Power Cobbe (1822–1904),
Duties toward Elders in Ban Zhao (5–ca. 116 CE),
Duties toward Family in Ban Zhao (5–ca. 116 CE),
Duties towards strangers/others in Sophie de Grouchy (1764–1822) | ,https://historyofwomenphilosophers.org/ecc/#article=Duties%20towards%20strangers/others%20in%20Sophie%20de%20Grouchy%20(1764%E2%80%931822)
,
Economic Duties of Governments towards Citizens in Mercy Otis Warren (1727–1814),
Economic Equality in Mary Wollstonecraft (1759–1797) | ,https://historyofwomenphilosophers.org/ecc/#article=Economic%20Equality%20in%20Mary%20Wollstonecraft%20(1759%E2%80%931797)
,
Economic Rights of Individuals in Mercy Otis Warren (1727–1814),
Education (Right of) in Mercy Otis Warren (1727–1814),
Education of Women in Ban Zhao (5–ca. 116 CE),
,
Education of Women in Mary Astell (1666–1731) | ,https://historyofwomenphilosophers.org/ecc/#article=Education%20of%20Women%20in%20Mary%20Astell%20(1666%E2%80%931731)
,
Education in Ednah Dow Cheney (1824–1904),
Education in Jacqueline Pascal (1625–1661),
Empathy in Edith Stein (1891–1942),
Empathy in Sophie de Grouchy (1764–1822) | ,https://historyofwomenphilosophers.org/ecc/#article=Empathy%20in%20Sophie%20de%20Grouchy%20(1764%E2%80%931822)
,
Equality of the Races in Lydia Maria Child (1802–1880),
"Eroticism in Andreas-Salomé, Lou (1861–1937)",
Ethic of Intention in Héloïse (1090–1164) | ,https://historyofwomenphilosophers.org/ecc/#article=Ethic%20of%20Intention%20in%20H%C3%A9lo%C3%AFse%20(1090%E2%80%931164)
,
Ethics of Resistance in Angélique de Saint-Jean Arnauld d’Andilly (1624–1684),
Ethics of Resistance in Agnès Arnauld (1593–1671) | ,https://historyofwomenphilosophers.org/ecc/#article=Ethics%20of%20Resistance%20in%20Agn%C3%A8s%20Arnauld%20(1593%E2%80%931671)
,
Evolutionary Biology in Antoinette Brown Blackwell (1825–1921),
Evolutionary Cosmology in Antoinette Brown Blackwell (1825–1921),
Existentialism in Simone de Beauvoir (1908–1986),
"Existence of God, Arguments for / Revelation in Mary Astell (1666–1731)",
Existence in Jeanne Hersch (1910-2000),
Existential Freedom in Jeanne Hersch (1910–2000),
"Faith in Andreas-Salomé, Lou (1861–1937)",
Faith in Mechthild von Magdeburg (1207–1282),
Fallacies (Metaphysical) in Hannah Arendt (1905–1975),
Family in Sophie de Grouchy (1764–1822) | ,https://historyofwomenphilosophers.org/ecc/#article=Family%20in%20Sophie%20de%20Grouchy%20(1764%E2%80%931822)
"Fear, liberalism of in Judith Shklar (1928-1992)",
Feeling of Self–Worth (Selbstgefühl) in Else Voigtländer (1882–1946),
"Feminism in Andreas-Salomé, Lou (1861–1937)",
Feminism in Anne Bradstreet (1612–1672) | ,https://historyofwomenphilosophers.org/ecc/#article=Feminism%20in%20Anne%20Bradstreet%20(1612%E2%80%931672)
,
Feminism in Vernon Lee (Violet Paget) (1856–1935),
Feminism in Im Yunjidang 임윤지당 任允摯堂 (1721–1793),
Feminist Utilitarianism in Anna Doyle Wheeler (1785–1848),
Force in Simone Weil (1909 – 1943),
Free Will vs. Determinism (Fatalism) in Catharine Beecher (1800–1878),
Free Will in Elly Ebenspanger (1904–1942?),
Free Will in Elza Kučera (1883–1972),
Freedom and Determinism in Madeleine de Scudéry (1607–1701),
"Freedom, Individual (Conditions for) in Mercy Otis Warren (1727–1814)",
Freedom in Anne Conway (1631–1679),
Freedom in Jacqueline Pascal (1625–1661),
Friendship in Héloïse (1090–1164) | ,https://historyofwomenphilosophers.org/ecc/#article=Friendship%20in%20H%C3%A9lo%C3%AFse%20(1090%E2%80%931164)
,
Fulfillment and Capability (Können) in Hedwig Conrad-Martius (1888–1966),
Gender and Equality in Marie le Jars de Gournay (1665–1645) | ,https://historyofwomenphilosophers.org/ecc/#article=Gender%20and%20Equality%20in%20Marie%20le%20Jars%20de%20Gournay%20(1665%E2%80%931645)
,
Gender in Lou Andreas-Salomé (1861–1937),
Gender Equality in Harriet Taylor Mill (1807–1858) | ,https://historyofwomenphilosophers.org/ecc/#article=Gender%20Equality%20in%20Harriet%20Taylor%20Mill%20(1807%E2%80%931858)
,
Gender Equality in Isotta Nogarola (1418–1466),
Gender and Equality in Madeleine de Scudéry (1607–1701),
God's Mind and Human Knowledge in Damaris Cudworth Masham (1659–1708) | ,
,
"God, Nature of in Anne Conway (1631–1679) | ",
,
God in Lou Andreas-Salomé (1861–1937),
God’s Nature in Mary Astell (1666–1731) | ,
,
Gradual Theory of Freedom in Jeanne Hersch (1910–2000),
Human Nature in Mercy Otis Warren (1727–1814) | ,
,
Human Sexuality in Frances (Fanny) Wright (1795–1852),
Hope in Julian of Norwich (1342–1416),
Human Nature in Damaris Cudworth Masham (1659–1708) | ,
,
Human Rights in Sophie de Grouchy (1764–1822),
Human Soul in Catherine of Siena (1347–1380),
Humor in Sarah Kofman (1934–1994),
Hylomorphism in Oliva Sabuco de Nantes (1562–1626?) | ,
,
Hypocrisy in Héloïse (1090–1164) | ,
,
Hypotheses in Émilie Du Châtelet (1706–1749) ,
Intension / Extension in Emily Elizabeth Constance Jones (1848–1922),
Identity / Nonidentity in Emily Elizabeth Constance Jones (1848–1922),
Immanence in Edith Stein (1891–1942) | ,
,
Immortality in Diotima of Mantinea (ca. 440 B.C.E.) | ,
,
Inner Freedom and Outer Conditions of Liberty in Jeanne Hersch (1910–2000),
Intention in G.E.M. Anscombe (1919–2001) | ,
,
Intuitive Morals in Frances Power Cobbe (1822–1904),
Judging in Hannah Arendt (1905–1975) | ,
,
Justice in Aesara of Lucania (4th or 3rd century BC),
Knowledge in Madeleine de Scudéry (1607–1701),
Knowledge of God in Anne Sophie Swetchine (1782–1857),
Knowledge of God in Jeanne-Marie Bouvier de la Motte Guyon (1648–1717),
Knowledge of Divinity in Edith Stein (1891–1942),
Knowledge in Catherine of Siena (1347–1380),
"Knowledge in Madeleine de Souvré, Marquise de Sablé (1599–1678)",
Labor in Anna Doyle Wheeler (1785–1848),
Language and Literature in Marie le Jars de Gournay (1665–1645) | ,
,
Language in Anne Le Fèvre Dacier (1647–1720),
Law of Significant Assertion in Emily Elizabeth Constance Jones (1848–1922),
Lebensphilosophie in Lou Andreas-Salomé (1861–1937),
Liberated Woman in Lou Andreas-Salomé (1861–1937),
Liberty in Anne Sophie Swetchine (1782–1857),
Life in Karoline Von Günderrode (1780–1806),
Literature in Anne Le Fèvre Dacier (1647–1720),
"Love / Religious Faith, Nature of in Mary Astell (1666–1731) | ",
,
Love In Karoline Von Günderrode (1780–1806),
Love in Catherine of Siena (1347–1380),
Love in Diotima of Mantinea (ca. 440 B.C.E.) | ,
,
Love in Héloïse (1101–1164),
Love in Jeanne-Marie Bouvier de la Motte Guyon (1648–1717),
"Love in Madeleine de Souvré, marquise de Sablé (1599–1678)",
Love in Murasaki Shikibu (ca. 973–ca. 1020),
Love in Simone de Beauvoir (1908–1986) | ,
,
Marriage in Anna Doyle Wheeler (1785–1848),
Marriage in Harriet Taylor Mill (1807–1858),
Marriage in Héloïse (1090–1164) | ,
,
Mathematics in Simone Weil (1909-1943),
Mind-Body Problem in Mary Astell (1666–1731) | ,
,
Mind-body Identity in Antoinette Brown Blackwell (1825–1921),
Misandry in Helene Druskowitz (1856–1918),
Misogyny in Anne Sophie Swetchine (1782–1857),
Modesty in Ban Zhao (5–ca. 116 CE),
Monastic Life and Public Display in Héloïse (1090–1164) | ,
,
Morality and Religion in Frances Power Cobbe (1822–1904),
Motherhood in Simone de Beauvoir (1908–1986),
Music and Memory in Vernon Lee (Violet Paget) (1856–1935),
Natural Equality of Sexes in Antoinette Brown Blackwell (1825–1921),
Natural Goodness in Philippa Foot (1920–2010),
Natural Law Theory in Aesara of Lucania (4th or 3rd century BC),
Natural Religion in Antoinette Brown Blackwell (1825–1921),
Nature in Anne Sophie Swetchine (1782–1857),
"Nature in Antoinette du Ligier de la Garde, Mme Deshoulières (1638–1694) | ",
,
Ontology of Social Life in Edith Stein (1891–1942),
Otherness in Simone de Beauvoir (1908-1986),
Pacifism in Vernon Lee (Violet Paget) (1856–1935),
Pain in Sophie de Grouchy (1764–1822),
Participatory Democracy in Mercy Otis Warren (1727–1814),
"Passions in Christina Wasa, Queen of Sweden (1626–1689) | ",
,
"Passions in Marguerite Hessein, Mme de La Sablière (1640–1693) | ",
,
Perception and Certainty in Mary Astell (1666–1731) | ,
,
Perfectibility in Anne Conway (1631–1679) | ,
,
Philosophy of Education in Mme de Maintenon (1635–1719) | ,
,
Philosophy of Medicine in Aesara of Lucania (4th or 3rd century BC),
"Philosophy of Religion in Marie de Rabutin-Chantal, Marquise de Sévigné (1626–1696) | ",
,
Pleasure in Sophie de Grouchy (1764–1822) | ,
,
Politeness in Anne Sophie Swetchine (1782–1857),
Political Liberty in Jeanne Hersch (1910–2000),
Potted thinking in Susan Stebbing (1885–1943),
Pragmatism in Jane Addams (1860–1935) | ,
,
Progress in Anne Sophie Swetchine (1782–1857),
Propriety in Ban Zhao (5–ca. 116 CE),
Proximity Epistemology in Jane Addams (1860–1935),
Puritanism in Anne Bradstreet (1612–1672),
Religious Freedom in Frances (Fanny) Wright (1795–1852),
Reality in Jeanne Hersch (1910–2000),
Reason in Marguerite Porete (1250/60–1310),
Religion in Madeleine de Scudéry (1607–1701),
Religious Epistemology of Agnès Arnauld (1593–1671) | ,
,
Religious Faith in Edith Stein (1891–1942),
Religious Freedom in Ednah Dow Cheney (1824–1904),
Religious Knowledge in Agnès Arnauld (1593–1671) | ,
,
"Religious Knowledge in Marguerite Hessein, Mme de La Sablière (1640–1693)",
Religious Truth in Antoinette Brown Blackwell (1825–1921),
Republicanism in Mercy Otis Warren (1727–1814),
Responsible Freedom in Jeanne Hersch (1910–2000),
Revelation in Antoinette Brown Blackwell (1825–1921),
Revolution in Mary Wollstonecraft (1759–1797) | ,
,
Scientism in Mary Midgley (1919–2018),
Sagehood in Im Yunjidang 임윤지당 任允摯堂 (1721-1793),
Salvation Faith in Edith Stein (1891–1942),
Self-Interest in Ayn Rand (1905–1982),
Self in Edith Stein (1891–1942),
Sexuo-economics in Charlotte Perkins Gilman (1860–1935),
Sexuality in Murasaki Shikibu (ca. 973–ca. 1020),
Slavery / Abolitionism in Ednah Dow Cheney (1824–1904),
Slavery in Frances (Fanny) Wright (1795–1852),
Social responsibility of individuals in Jane Addams (1860–1935),
Social Progress in Jane Addams (1860–1935),
Soul in Aesara of Lucania (4th or 3rd century BC),
Soul in Diotima of Mantinea (ca. 440 B.C.E.) | ,
,
Soul in Edith Stein (1891–1942) | ,
,
States’ Rights in Mercy Otis Warren (1727–1814),
Substance in Anne Conway (1631–1679) | ,
